place,county,region,urban_type,population,pop_density,tree_equity_score,tree_canopy_pct,heat_severity_F,health_burden,prop_poverty,prop_people_of_color,unemployment_rate,prop_children,prop_seniors
Centreville,Fairfax County,Northern Virginia,Urban Core,1824,2412.23,90.95,0.391,6.28,0.2815,0.1294,0.5664,0.0383,0.2322,0.0994
Chamberlayne,Henrico County,Richmond Metro,Exurban,1329,359.2,99.5,0.5554,-1.19,0.2587,0.1295,0.5465,0.0507,0.1001,0.2701
Chantilly,Fairfax County,Northern Virginia,Suburban,1888,863.35,88.07,0.364,6.66,0.3259,0.1584,0.6456,0.0488,0.2435,0.104
Charlottesville,Charlottesville city,Central Virginia,Suburban,1226,1756.74,94.34,0.456,5.17,0.4296,0.3603,0.3157,0.0416,0.1442,0.1373
Cherry Hill,Prince William County,Northern Virginia,Suburban,1919,1253.74,91.75,0.4164,0.62,0.4903,0.1916,0.8053,0.051,0.3217,0.0588
Chesapeake,Chesapeake city,Hampton Roads,Suburban,1696,972.96,88.32,0.3444,0.0,0.2818,0.2249,0.4564,0.0526,0.2338,0.1448
Chester,Chesterfield County,Richmond Metro,Suburban,1305,604.27,98.72,0.5606,0.19,0.3074,0.3014,0.3773,0.0386,0.2293,0.1588
Chincoteague,Accomack County,Hampton Roads,Exurban,821,332.04,86.75,0.3353,1.46,0.3569,0.3199,0.0778,0.0697,0.1601,0.399
Christiansburg,Montgomery County,Roanoke-New River,Suburban,1543,701.52,85.5,0.3244,-0.24,0.3271,0.2691,0.1321,0.0209,0.1958,0.1748
Claypool Hill,Tazewell County,Southwest Virginia,Suburban,949,946.51,83.67,0.3032,3.44,0.4935,0.4097,0.0287,0.0997,0.2313,0.2994
Clifton Forge,Alleghany County,Roanoke-New River,Suburban,1082,717.97,98.83,0.5673,-0.17,0.633,0.3875,0.1051,0.0491,0.1996,0.2555
Cloverdale,Botetourt County,Roanoke-New River,Exurban,1444,392.12,92.33,0.4102,-2.61,0.2882,0.2364,0.1515,0.0695,0.1968,0.2357
Collinsville,Henry County,Southside Virginia,Exurban,1022,354.07,97.62,0.6333,-0.03,0.4016,0.5096,0.2821,0.104,0.2248,0.1779
Colonial Beach,Westmoreland County,Southside Virginia,Suburban,1448,1303.99,89.0,0.3674,-0.34,0.4382,0.349,0.249,0.0945,0.1932,0.2583
Colonial Heights,Colonial Heights city,Richmond Metro,Suburban,1511,930.32,91.42,0.4005,0.7,0.3678,0.2784,0.2912,0.075,0.2141,0.1959
