place,county,region,urban_type,population,pop_density,tree_equity_score,tree_canopy_pct,heat_severity_F,health_burden,prop_poverty,prop_people_of_color,unemployment_rate,prop_children,prop_seniors
Massanetta Springs,Rockingham County,Shenandoah Valley,Suburban,2044,601.18,86.33,0.2906,-4.12,0.3267,0.1052,0.0979,0.0312,0.2116,0.2818
Massanutten,Rockingham County,Shenandoah Valley,Suburban,781,1011.59,99.75,0.6886,-4.68,0.2281,0.1638,0.1537,0.0722,0.1632,0.2234
Matoaca,Chesterfield County,Richmond Metro,Suburban,1199,504.16,99.33,0.6179,-7.88,0.327,0.2964,0.2782,0.0415,0.252,0.1849
Mcgaheysville,Rockingham County,Shenandoah Valley,Suburban,1633,779.18,81.0,0.2141,2.34,0.2708,0.1439,0.2682,0.0346,0.2198,0.2205
Mclean,Fairfax County,Northern Virginia,Suburban,1402,845.96,97.83,0.5278,0.77,0.2612,0.0551,0.3284,0.0246,0.2556,0.1977
Mcmullin,Smyth County,Southwest Virginia,Suburban,672,1639.42,73.0,0.1066,0.84,0.5299,0.3676,0.0,0.0652,0.0997,0.2351
Mcnair,Fairfax County,Northern Virginia,Urban Core,1499,4018.23,82.43,0.1889,15.33,0.1688,0.1199,0.6779,0.0392,0.2084,0.029
Meadowbrook,Chesterfield County,Richmond Metro,Suburban,1631,928.73,95.33,0.4744,3.91,0.3423,0.3111,0.7136,0.0701,0.2247,0.2029
Meadowview,Washington County,Southwest Virginia,Suburban,1287,629.48,64.5,0.0665,-4.69,0.3114,0.3501,0.096,0.1025,0.1325,0.1321
Mechanicsville,Hanover County,Richmond Metro,Suburban,1642,593.8,96.25,0.4624,2.0,0.2615,0.1647,0.1499,0.0207,0.2185,0.1878
Merrifield,Fairfax County,Northern Virginia,Urban Core,1336,2737.63,86.15,0.2651,13.01,0.1831,0.1133,0.5195,0.016,0.1631,0.0815
Merrimac,Montgomery County,Roanoke-New River,Suburban,1396,650.14,95.0,0.4625,-1.91,0.5096,0.4345,0.2338,0.0765,0.1427,0.3117
Midlothian,Chesterfield County,Richmond Metro,Suburban,1984,777.63,98.2,0.543,1.65,0.2076,0.1251,0.2874,0.0441,0.2656,0.186
Montclair,Prince William County,Northern Virginia,Suburban,1830,1407.66,96.33,0.476,-0.96,0.3954,0.1049,0.4705,0.0505,0.2668,0.1617
Montrose,Henrico County,Richmond Metro,Suburban,1044,925.06,89.71,0.4164,1.84,0.3406,0.4951,0.865,0.014,0.1831,0.2033
Moorefield,Loudoun County,Northern Virginia,Suburban,1880,1772.0,79.67,0.1703,8.61,0.1634,0.0141,0.4302,0.0133,0.1731,0.0335
Mount Crawford,Rockingham County,Shenandoah Valley,Exurban,1104,326.17,73.0,0.0875,-1.44,0.4245,0.1784,0.0824,0.0196,0.1848,0.1649
Mount Hermon,Pittsylvania County,Southside Virginia,Suburban,1820,468.73,100.0,0.5932,-5.0,0.1896,0.2462,0.2556,0.0571,0.1601,0.2331
Mount Vernon,Fairfax County,Northern Virginia,Suburban,1958,1184.95,98.57,0.5183,-2.69,0.3907,0.1542,0.3871,0.0299,0.244,0.1737
Navy,Fairfax County,Northern Virginia,Suburban,1990,1119.36,92.0,0.3848,3.14,0.2051,0.0167,0.6253,0.0056,0.253,0.109
New Baltimore,Fauquier County,Northern Virginia,Suburban,2469,597.22,84.6,0.5104,0.29,0.1433,0.076,0.166,0.0271,0.2858,0.1361
Newington,Fairfax County,Northern Virginia,Urban Core,2442,1238.79,96.57,0.501,2.52,0.3356,0.0874,0.6144,0.0421,0.2308,0.1278
Newington Forest,Fairfax County,Northern Virginia,Urban Core,2190,1474.96,100.0,0.6792,-1.68,0.3086,0.088,0.4786,0.0455,0.2568,0.117
Newport News,"Newport News city, York County",Hampton Roads,Suburban,1417,1281.32,89.11,0.3757,2.9,0.3514,0.3416,0.5776,0.0608,0.2174,0.135
Norfolk,Norfolk city,Hampton Roads,Suburban,1193,1776.93,85.1,0.2829,5.24,0.3645,0.3698,0.5713,0.069,0.2019,0.1275
North Springfield,Fairfax County,Northern Virginia,Suburban,1465,1848.5,94.6,0.4551,3.85,0.3687,0.1398,0.5894,0.0328,0.2506,0.1399
Norton,"Norton city, Wise County",Southwest Virginia,Exurban,849,476.86,92.4,0.4064,6.71,0.6116,0.4327,0.0247,0.0618,0.1778,0.2301
Oak Grove,Loudoun County,Northern Virginia,Suburban,2500,828.09,79.0,0.2357,12.71,0.3962,0.0732,0.6904,0.0082,0.1968,0.0616
Oak Level,Henry County,Southside Virginia,Suburban,1265,873.47,100.0,0.792,-5.4,0.4071,0.4104,0.3262,0.091,0.2138,0.2204
Oakton,Fairfax County,Northern Virginia,Suburban,1723,1484.14,93.67,0.4484,6.09,0.2902,0.1129,0.4641,0.0331,0.2291,0.1509
Occoquan,"Fairfax County, Prince William County",Northern Virginia,Suburban,1428,576.37,93.67,0.4363,5.22,0.4036,0.1919,0.492,0.0646,0.184,0.1193
One Loudoun,Loudoun County,Northern Virginia,Urban Core,2262,2934.61,73.0,0.1494,12.37,0.3742,0.0305,0.286,0.0519,0.1127,0.3369
Orange,Orange County,Central Virginia,Suburban,2304,901.89,89.33,0.3584,0.02,0.4688,0.276,0.3094,0.059,0.2172,0.1223
Pantops,Albemarle County,Central Virginia,Suburban,1193,683.2,94.0,0.4337,2.75,0.3149,0.0826,0.2932,0.0277,0.1453,0.2791
Petersburg,Petersburg city,Richmond Metro,Suburban,1072,740.16,91.68,0.4213,1.07,0.4947,0.4708,0.8562,0.1219,0.21,0.1754
Pimmit Hills,Fairfax County,Northern Virginia,Suburban,1309,1683.99,92.2,0.4089,5.97,0.3074,0.115,0.5199,0.0422,0.2156,0.1495
Plum Creek,Montgomery County,Roanoke-New River,Suburban,985,639.63,100.0,0.5632,-2.84,0.3501,0.313,0.062,0.062,0.2253,0.1074
Poquoson,Poquoson city,Hampton Roads,Suburban,1238,651.33,97.0,0.4652,-2.87,0.2553,0.1299,0.1001,0.0168,0.213,0.208
Portsmouth,Portsmouth city,Hampton Roads,Suburban,1174,1137.98,80.82,0.2656,3.66,0.3971,0.3792,0.6218,0.0633,0.2344,0.1501
Potomac Mills,Prince William County,Northern Virginia,Suburban,1166,614.11,91.0,0.4101,5.4,0.5007,0.3749,0.4852,0.033,0.2782,0.0542
Prices Fork,Montgomery County,Roanoke-New River,Suburban,1650,644.36,95.5,0.4281,-4.36,0.2432,0.1714,0.0425,0.0296,0.1486,0.2513
Pulaski,Pulaski County,Roanoke-New River,Exurban,1033,477.09,78.83,0.3842,0.69,0.5657,0.3636,0.1261,0.0528,0.1807,0.2123
Purcellville,Loudoun County,Northern Virginia,Urban Core,2724,1523.58,70.0,0.3012,2.15,0.4618,0.0622,0.2214,0.0446,0.3055,0.0997
Quantico,Prince William County,Northern Virginia,Urban Core,502,2788.89,86.0,0.2219,6.98,0.3774,0.3227,0.5956,0.0356,0.1594,0.0996
Quantico Base,Prince William County,Northern Virginia,Suburban,843,621.21,90.5,0.4877,-3.46,0.3774,0.2735,0.4463,0.1195,0.2473,0.0
Radford,Radford city,Roanoke-New River,Suburban,1473,951.84,82.09,0.398,3.61,0.5169,0.4627,0.1448,0.0754,0.1145,0.0987
Raven,"Russell County, Tazewell County",Southwest Virginia,Suburban,954,918.13,93.0,0.4742,-4.48,0.7709,0.4335,0.05,0.1419,0.1796,0.1878
Ravensworth,Fairfax County,Northern Virginia,Suburban,2370,989.44,93.0,0.4127,5.09,0.3002,0.1181,0.4823,0.0559,0.2954,0.1257
Reston,Fairfax County,Northern Virginia,Suburban,1511,1558.1,95.48,0.4825,3.03,0.3148,0.1406,0.3858,0.0381,0.1841,0.1547
Richlands,Tazewell County,Southwest Virginia,Exurban,950,431.05,94.0,0.4603,0.36,0.6376,0.4682,0.0475,0.1379,0.1861,0.2457
Richmond,Richmond city,Richmond Metro,Suburban,1188,1473.38,81.79,0.2351,8.59,0.3828,0.3896,0.5686,0.0632,0.1558,0.1384
Ridgeway,Henry County,Southside Virginia,Suburban,1548,442.69,100.0,0.6811,-2.44,0.432,0.3609,0.2484,0.0264,0.2759,0.1884
Rio,Albemarle County,Central Virginia,Suburban,1171,792.81,94.71,0.4561,6.56,0.4616,0.1831,0.2692,0.0418,0.1861,0.1732
Rivanna,Albemarle County,Central Virginia,Exurban,1176,398.77,99.5,0.5204,-2.42,0.3699,0.0876,0.1626,0.0497,0.1739,0.3833
Riverdale,Halifax County,Southside Virginia,Urban Core,1618,4637.43,100.0,0.5009,-0.66,0.3315,0.1972,0.3616,0.0,0.3059,0.2231
Roanoke,Roanoke city,Roanoke-New River,Suburban,1293,905.07,82.42,0.3535,4.5,0.4709,0.3805,0.3872,0.0565,0.2119,0.1766
Rockwood,Chesterfield County,Richmond Metro,Suburban,1297,552.81,100.0,0.6267,-2.13,0.2649,0.1546,0.3265,0.0465,0.182,0.244
Rocky Mount,Franklin County,Southside Virginia,Suburban,1507,774.56,93.11,0.4289,0.28,0.3991,0.3789,0.1993,0.0304,0.2254,0.2014
Rose Hill,Fairfax County,Northern Virginia,Suburban,1691,1509.83,95.54,0.4461,0.92,0.3676,0.1536,0.4953,0.0325,0.2398,0.138
Round Hill,Loudoun County,Northern Virginia,Suburban,2324,766.24,92.5,0.4454,-2.44,0.5098,0.0602,0.2105,0.0315,0.3475,0.0499
Salem,Salem city,Roanoke-New River,Suburban,1267,670.97,88.95,0.3799,4.5,0.349,0.2577,0.1492,0.0388,0.1841,0.2077
Sandston,Henrico County,Richmond Metro,Exurban,1139,386.98,93.62,0.4126,1.96,0.3457,0.1902,0.4361,0.0415,0.1509,0.1073
Seven Corners,Fairfax County,Northern Virginia,Urban Core,1532,5206.48,88.67,0.3349,9.87,0.5057,0.4421,0.586,0.043,0.2316,0.1683
Short Pump,Henrico County,Richmond Metro,Suburban,1538,1183.76,93.26,0.3869,0.54,0.0875,0.0945,0.4145,0.018,0.2536,0.0939
Smithfield,Isle of Wight County,Hampton Roads,Suburban,1608,908.02,90.38,0.3787,1.13,0.3326,0.2089,0.2944,0.0429,0.1814,0.2118
South Boston,Halifax County,Southside Virginia,Suburban,1435,854.83,95.67,0.501,0.79,0.5481,0.3425,0.4155,0.058,0.2034,0.206
South Hill,Mecklenburg County,Southside Virginia,Exurban,1126,486.92,92.17,0.4334,1.21,0.5406,0.4793,0.486,0.0526,0.2042,0.2213
South Riding,Loudoun County,Northern Virginia,Urban Core,2255,1603.54,82.8,0.2614,6.81,0.2179,0.0744,0.5603,0.0391,0.3078,0.0513
South Run,Fairfax County,Northern Virginia,Suburban,2350,731.99,100.0,0.6778,-2.66,0.2817,0.0117,0.3642,0.0205,0.268,0.2016
Southern Gateway,Stafford County,Northern Virginia,Suburban,2271,470.59,92.67,0.4339,3.79,0.3109,0.1611,0.3647,0.0525,0.1751,0.2481
Spotsylvania Courthouse,Spotsylvania County,Northern Virginia,Exurban,1246,440.41,84.33,0.3924,1.77,0.4356,0.4514,0.439,0.132,0.2189,0.1989
Springfield,Fairfax County,Northern Virginia,Suburban,1829,1509.12,88.18,0.3803,7.55,0.3869,0.185,0.6347,0.0519,0.1822,0.197
Stafford Courthouse,Stafford County,Northern Virginia,Urban Core,2375,1438.31,94.2,0.4378,0.51,0.4286,0.0775,0.4926,0.0208,0.1992,0.1048
Stanleytown,Henry County,Southside Virginia,Exurban,857,199.58,100.0,0.6237,-0.9,0.4773,0.4168,0.116,0.0898,0.1995,0.1976
Staunton,Staunton city,Shenandoah Valley,Suburban,1268,699.26,91.25,0.4002,2.35,0.3675,0.3453,0.1878,0.0482,0.1829,0.2177
Stephens City,Frederick County,Shenandoah Valley,Urban Core,1741,2082.91,79.0,0.2685,2.36,0.3926,0.2249,0.2438,0.0624,0.2232,0.1053
Sterling,Loudoun County,Northern Virginia,Urban Core,2229,2204.76,86.57,0.33,7.19,0.4107,0.1961,0.6615,0.0448,0.2245,0.11
Stone Ridge,Loudoun County,Northern Virginia,Urban Core,3068,1762.82,80.67,0.2242,7.84,0.2147,0.0304,0.5039,0.0077,0.3407,0.0708
Strasburg,Shenandoah County,Shenandoah Valley,Suburban,2628,746.94,91.33,0.3863,0.99,0.4073,0.3862,0.1438,0.0247,0.2867,0.1598
Sudley,Prince William County,Northern Virginia,Urban Core,1674,2675.47,82.36,0.3078,7.96,0.5524,0.2499,0.7032,0.0397,0.2599,0.116
Suffolk,Suffolk city,Hampton Roads,Suburban,1207,799.23,86.39,0.3906,1.04,0.3957,0.2683,0.587,0.0763,0.2425,0.1318
Sugarland Run,Loudoun County,Northern Virginia,Urban Core,2456,2457.19,89.0,0.341,6.14,0.4341,0.2047,0.6471,0.0527,0.2448,0.1078
Sully Square,Fairfax County,Northern Virginia,Suburban,2288,812.59,73.0,0.1666,12.63,0.1984,0.1355,0.7194,0.0,0.3955,0.0192
Tazewell,Tazewell County,Southwest Virginia,Suburban,1249,611.71,86.67,0.3203,0.11,0.5009,0.4555,0.0806,0.0706,0.1817,0.1939
The University Of Virginia's College At Wise,Wise County,Southwest Virginia,Exurban,1273,400.54,94.0,0.4171,-4.04,0.3552,0.5377,0.099,0.0105,0.1163,0.1005
Timberlake,Campbell County,Lynchburg Region,Suburban,2206,633.91,94.12,0.4781,0.77,0.3934,0.2319,0.187,0.0467,0.2081,0.1816
Timberville,Rockingham County,Shenandoah Valley,Suburban,1702,1508.45,81.67,0.2234,-1.27,0.3912,0.2917,0.1075,0.0762,0.2075,0.1619
Triangle,Prince William County,Northern Virginia,Suburban,1929,1436.34,97.0,0.4818,-3.51,0.5705,0.2531,0.7419,0.0983,0.2371,0.0739
Troutville,Botetourt County,Roanoke-New River,Suburban,982,537.4,94.0,0.3928,-7.96,0.3554,0.1688,0.0696,0.0107,0.1822,0.1526
Tuckahoe,Henrico County,Richmond Metro,Suburban,1279,1020.51,97.18,0.4986,0.7,0.2232,0.1755,0.2574,0.0512,0.2296,0.1987
Tysons,Fairfax County,Northern Virginia,Urban Core,1403,2258.04,86.22,0.2503,12.14,0.213,0.1422,0.537,0.0736,0.1333,0.1238
Union Mill,Fairfax County,Northern Virginia,Urban Core,2396,1299.84,95.0,0.4358,2.18,0.2487,0.078,0.5522,0.0204,0.2609,0.1319
University Center,Loudoun County,Northern Virginia,Urban Core,1711,2215.6,87.0,0.329,4.89,0.3216,0.2601,0.5489,0.0238,0.1721,0.069
University Of Virginia,Albemarle County,Central Virginia,Urban Core,1877,2585.05,96.2,0.4371,6.47,0.2527,0.4787,0.4033,0.0463,0.0247,0.0376
Vienna,Fairfax County,Northern Virginia,Suburban,1829,1443.44,94.78,0.4286,5.1,0.289,0.0679,0.3223,0.032,0.2851,0.1333
Villa Heights,Henry County,Southside Virginia,Exurban,558,173.28,100.0,0.6535,-1.31,0.3677,0.7007,0.2186,0.0,0.0412,0.457
Vinton,Roanoke County,Roanoke-New River,Suburban,1606,809.8,87.5,0.3514,1.76,0.4122,0.2785,0.1082,0.027,0.2083,0.194
Virginia Beach,Virginia Beach city,Hampton Roads,Suburban,1417,1294.62,89.13,0.3225,3.51,0.2545,0.2045,0.3762,0.0416,0.2092,0.1515
Wakefield,Fairfax County,Northern Virginia,Suburban,1922,1173.13,100.0,0.5416,-0.09,0.3017,0.0588,0.4084,0.0273,0.2592,0.1723
Warrenton,Fauquier County,Northern Virginia,Suburban,2095,924.27,74.67,0.4304,3.48,0.6754,0.122,0.2145,0.0311,0.2335,0.1634
Waynesboro,Waynesboro city,Shenandoah Valley,Suburban,1303,705.58,80.88,0.3051,0.63,0.5237,0.3842,0.2599,0.0495,0.2117,0.1748
West Falls Church,Fairfax County,Northern Virginia,Urban Core,1477,2396.58,93.05,0.4315,4.66,0.3709,0.1518,0.5406,0.0545,0.1962,0.1504
West Springfield,Fairfax County,Northern Virginia,Suburban,1683,1505.48,97.64,0.5158,2.14,0.3303,0.0987,0.4506,0.0222,0.2377,0.2237
Williamsburg,Williamsburg city,Hampton Roads,Suburban,1700,665.8,93.44,0.5868,2.37,0.4649,0.3169,0.2853,0.0798,0.1258,0.1959
Winchester,Winchester city,Shenandoah Valley,Suburban,1128,1184.45,79.72,0.2589,5.65,0.5844,0.3146,0.3483,0.0359,0.2241,0.1584
Wise,Wise County,Southwest Virginia,Suburban,1821,406.83,99.33,0.5049,-2.05,0.467,0.4434,0.0552,0.1022,0.1977,0.1827
Wolf Trap,Fairfax County,Northern Virginia,Suburban,1744,623.8,100.0,0.6062,-2.13,0.268,0.0482,0.3109,0.0378,0.2599,0.1785
Woodbridge,Prince William County,Northern Virginia,Urban Core,1474,2004.16,88.0,0.3718,6.75,0.5265,0.2847,0.7649,0.0604,0.2397,0.1019
Woodburn,Fairfax County,Northern Virginia,Suburban,1978,1495.79,97.5,0.4982,1.38,0.305,0.2403,0.5058,0.0248,0.2575,0.1187
Woodlake,Chesterfield County,Richmond Metro,Urban Core,2141,1101.37,100.0,0.72,-2.66,0.1862,0.0781,0.1914,0.0419,0.2703,0.1129
Woodlawn,Fairfax County,Northern Virginia,Urban Core,2259,3759.86,90.5,0.403,2.48,0.5746,0.2597,0.8544,0.0627,0.2501,0.1084
Woodstock,Shenandoah County,Shenandoah Valley,Suburban,1574,781.7,77.6,0.2298,-0.19,0.4172,0.3229,0.206,0.0423,0.2174,0.16
Wyndham,Henrico County,Richmond Metro,Suburban,1735,1313.45,96.57,0.4296,-3.08,0.0934,0.0321,0.3467,0.0286,0.2679,0.1422
Wytheville,Wythe County,Southwest Virginia,Suburban,970,627.58,77.0,0.2023,0.09,0.4469,0.3324,0.0781,0.0581,0.1732,0.2469
Yorkshire,Prince William County,Northern Virginia,Suburban,1891,1591.33,93.8,0.4441,3.19,0.6051,0.3362,0.7847,0.0257,0.315,0.0437
Yorktown,York County,Hampton Roads,Suburban,1230,1768.51,100.0,0.5072,-7.31,0.3234,0.1597,0.2187,0.0,0.0187,0.122
